setting,composition,task_order,round,metric,n_runs_total,n_runs_defined,mean,sd
population,2 Gemini + 6 GPT,game,7,send,5,5,0.15,0.22360679774997896
population,2 Gemini + 6 GPT,game,8,send,5,5,0.2,0.2738612787525831
population,2 Gemini + 6 GPT,game,9,send,5,5,0.25,0.4330127018922193
population,2 Gemini + 6 GPT,game,10,send,5,5,0.1,0.13693063937629155
population,4 Gemini + 4 GPT,game,1,send,5,5,0.53,0.3134485603731496
population,4 Gemini + 4 GPT,game,2,send,5,5,0.575,0.3010398644698074
population,4 Gemini + 4 GPT,game,3,send,5,5,0.35,0.2850438562747845
population,4 Gemini + 4 GPT,game,4,send,5,5,0.35,0.33541019662496846
population,4 Gemini + 4 GPT,game,5,send,5,5,0.74,0.2382225849914319
population,4 Gemini + 4 GPT,game,6,send,5,5,0.65,0.2850438562747845
population,4 Gemini + 4 GPT,game,7,send,5,5,0.6,0.2850438562747845
population,4 Gemini + 4 GPT,game,8,send,5,5,0.7,0.11180339887498948
population,4 Gemini + 4 GPT,game,9,send,5,5,0.65,0.22360679774997896
population,4 Gemini + 4 GPT,game,10,send,5,5,0.6,0.22360679774997896
population,1 GPT + 7 Sonnet,game,1,send,5,5,0.51,0.0821583836257749
population,1 GPT + 7 Sonnet,game,2,send,5,5,0.48999999999999994,0.07416198487095661
population,1 GPT + 7 Sonnet,game,3,send,5,5,0.5272,0.12742331026935377
population,1 GPT + 7 Sonnet,game,4,send,5,5,0.565,0.10982941318244399
population,1 GPT + 7 Sonnet,game,5,send,5,5,0.48,0.048088460154178385
population,1 GPT + 7 Sonnet,game,6,send,5,5,0.53,0.13509256086106294
population,1 GPT + 7 Sonnet,game,7,send,5,5,0.64,0.09617692030835674
population,1 GPT + 7 Sonnet,game,8,send,5,5,0.635,0.07202430145443967
population,1 GPT + 7 Sonnet,game,9,send,5,5,0.625,0.10307764064044149
population,1 GPT + 7 Sonnet,game,10,send,5,5,0.7,0.030618621784789708
population,2 GPT + 6 Sonnet,game,1,send,5,5,0.44000000000000006,0.1341640786499874
population,2 GPT + 6 Sonnet,game,2,send,5,5,0.36500000000000005,0.07416198487095661
population,2 GPT + 6 Sonnet,game,3,send,5,5,0.36,0.13062350477613133
population,2 GPT + 6 Sonnet,game,4,send,5,5,0.32999999999999996,0.14620191517213446
population,2 GPT + 6 Sonnet,game,5,send,5,5,0.3350000000000001,0.1673320053068151
population,2 GPT + 6 Sonnet,game,6,send,5,5,0.35,0.21433035249352805
population,2 GPT + 6 Sonnet,game,7,send,5,5,0.305,0.17266296649832008
population,2 GPT + 6 Sonnet,game,8,send,5,5,0.39999999999999997,0.15309310892394862
population,2 GPT + 6 Sonnet,game,9,send,5,5,0.47000000000000003,0.23545169355942208
