fe,setting,role,model,predictor,level,coef,ci_low,ci_high,p,n_decisions,n_runs
run,all settings,investor,"own + shown label, no lag",own_label,be generous,0.041882857956075596,0.02551963949587119,0.058246076416280004,5.257432220555065e-07,3619,156
run,all settings,investor,"own + shown label, no lag",shown_label,be cautious,0.009940996934398512,-0.035516287111694765,0.055398280980491786,0.6681982691961394,3619,156
run,all settings,investor,"own + shown label, no lag",shown_label,be generous,-0.01662773577797339,-0.03463705381659435,0.0013815822606475653,0.07035696663121772,3619,156
run,all settings,trustee,"own + shown label, own lag",own_label,be cautious,0.003463722548978925,-0.012953094591821755,0.019880539689779604,0.6792216912539517,2861,156
run,all settings,trustee,"own + shown label, own lag",own_label,be generous,0.006356260268973104,0.0007658952543356436,0.011946625283610564,0.025848230735954603,2861,156
run,all settings,trustee,"own + shown label, own lag",shown_label,be cautious,-0.0070971655660501095,-0.022097830902909104,0.007903499770808883,0.35376830521951474,2861,156
run,all settings,trustee,"own + shown label, own lag",shown_label,be generous,-0.000697641997051048,-0.005754958221566239,0.004359674227464142,0.7868746134525355,2861,156
run,all settings,trustee,"own + shown label, own lag",coop_lag_same_role,,0.16982217686459258,0.11293995647636781,0.22670439725281735,4.872088406263788e-09,2861,156
run,all settings,trustee,"own + shown label, no lag",own_label,be cautious,-0.0019482524006512814,-0.01641304440466818,0.012516539603365615,0.7917906023895602,3268,156
run,all settings,trustee,"own + shown label, no lag",own_label,be generous,0.007103353295606463,0.0012016162622500636,0.01300509032896286,0.018323260411087387,3268,156
run,all settings,trustee,"own + shown label, no lag",shown_label,be cautious,-0.008886466787079135,-0.022148394036692897,0.004375460462534626,0.18907512783880542,3268,156
run,all settings,trustee,"own + shown label, no lag",shown_label,be generous,-0.0016051085082498563,-0.006800347792216647,0.0035901307757169347,0.5448164616853355,3268,156
agent,2-agent homogeneous,investor,"own + shown label, own lag",own_label,be cautious,-0.13877099263110393,-0.44424129152834174,0.16669930626613388,0.373259236817997,240,30
agent,2-agent homogeneous,investor,"own + shown label, own lag",own_label,be generous,-0.02374269290114159,-0.07300819323960578,0.025522807437322593,0.3448773155680789,240,30
agent,2-agent homogeneous,investor,"own + shown label, own lag",shown_label,be cautious,-0.1912490981150411,-0.45056783508534043,0.06806963885525824,0.1483217034520187,240,30
agent,2-agent homogeneous,investor,"own + shown label, own lag",shown_label,be generous,-0.018879624333116424,-0.05538212283643182,0.017622874170198973,0.31071545018334046,240,30
agent,2-agent homogeneous,investor,"own + shown label, own lag",coop_lag_same_role,,0.07088339848880484,-0.19585629043860733,0.33762308741621705,0.6024776908671866,240,30
agent,2-agent homogeneous,investor,"own + shown label, no lag",own_label,be cautious,-0.2029214064343465,-0.5293605191971126,0.12351770632841955,0.2230891872837396,255,30
agent,2-agent homogeneous,investor,"own + shown label, no lag",own_label,be generous,-0.021150526015477348,-0.0743691268853821,0.032068074854427406,0.4360131526596537,255,30
agent,2-agent homogeneous,investor,"own + shown label, no lag",shown_label,be cautious,-0.188697975701386,-0.45543072768275794,0.07803477627998592,0.16557566175359917,255,30
agent,2-agent homogeneous,investor,"own + shown label, no lag",shown_label,be generous,-0.005342558229141248,-0.04272144181379289,0.03203632535551039,0.7793721236769029,255,30
agent,2-agent homogeneous,trustee,"own + shown label, own lag",own_label,be cautious,-0.07293870767651056,-0.21734718183957707,0.07146976648655595,0.3221983179051099,230,30
agent,2-agent homogeneous,trustee,"own + shown label, own lag",own_label,be generous,0.0046099663173651394,-0.012344974065961642,0.021564906700691923,0.594099529795634,230,30
agent,2-agent homogeneous,trustee,"own + shown label, own lag",shown_label,be cautious,0.010209942834604085,-0.0028948983034974875,0.023314783972705658,0.1267604834493201,230,30
agent,2-agent homogeneous,trustee,"own + shown label, own lag",shown_label,be generous,-0.012329725580690397,-0.03168749881732769,0.007028047655946902,0.21189266480244318,230,30
agent,2-agent homogeneous,trustee,"own + shown label, own lag",coop_lag_same_role,,-0.06190636801182166,-0.21458184510178524,0.09076910907814191,0.4267764088155598,230,30
agent,2-agent homogeneous,trustee,"own + shown label, no lag",own_label,be cautious,-0.08220287257181026,-0.21226029098509536,0.047854545841474846,0.21542088481541377,252,30
agent,2-agent homogeneous,trustee,"own + shown label, no lag",own_label,be generous,0.005743570090255251,-0.017268895929024412,0.028756036109534915,0.6247157321541319,252,30
agent,2-agent homogeneous,trustee,"own + shown label, no lag",shown_label,be cautious,-0.04317711752700696,-0.06835184088423438,-0.01800239416977955,0.0007751185235146356,252,30
agent,2-agent homogeneous,trustee,"own + shown label, no lag",shown_label,be generous,-0.020701966652231254,-0.0410250222065664,-0.0003789110978961105,0.04587883750063476,252,30
agent,2-agent mixed,investor,"own + shown label, own lag",own_label,be cautious,0.12832319888251129,-0.03851610370032715,0.2951625014653497,0.1316846938211073,286,36
agent,2-agent mixed,investor,"own + shown label, own lag",own_label,be generous,0.02726206275461087,-0.009493063609462025,0.06401718911868376,0.146016413662174,286,36
agent,2-agent mixed,investor,"own + shown label, own lag",shown_label,be cautious,0.038740397535871794,-0.041411010760237114,0.1188918058319807,0.34347096431989055,286,36
