size,composition,family,partner_family,group,round,p_reads_as_partner_mean,p_reads_as_partner_sd,n_myths
8,2 GPT + 6 Sonnet,Sonnet,GPT,homogeneous,8,0.014471640126070561,0.010238606109679036,80
8,2 GPT + 6 Sonnet,Sonnet,GPT,homogeneous,9,0.013516136340115684,0.008718722040886227,80
8,2 GPT + 6 Sonnet,Sonnet,GPT,homogeneous,10,0.014666447053773683,0.009005788275785728,80
8,2 Gemini + 6 GPT,GPT,Gemini,mixed,1,0.016372513947027913,0.012687078053253262,60
8,2 Gemini + 6 GPT,GPT,Gemini,mixed,2,0.01895993841217345,0.024506929623720794,60
8,2 Gemini + 6 GPT,GPT,Gemini,mixed,3,0.013240613916126843,0.016464419018331514,60
8,2 Gemini + 6 GPT,GPT,Gemini,mixed,4,0.01222916106446607,0.010001673440777775,60
8,2 Gemini + 6 GPT,GPT,Gemini,mixed,5,0.010314577580121978,0.008539163945681303,60
8,2 Gemini + 6 GPT,GPT,Gemini,mixed,6,0.009068377524496662,0.00714079620948595,60
8,2 Gemini + 6 GPT,GPT,Gemini,mixed,7,0.008101085702485753,0.005436854951372855,60
8,2 Gemini + 6 GPT,GPT,Gemini,mixed,8,0.008805302469895877,0.010332738130533297,60
8,2 Gemini + 6 GPT,GPT,Gemini,mixed,9,0.008211431192442642,0.004648706844077222,60
8,2 Gemini + 6 GPT,GPT,Gemini,mixed,10,0.008475309667482448,0.005222456914721626,60
8,2 Gemini + 6 GPT,GPT,Gemini,homogeneous,1,0.018199400446004176,0.012999832236219425,80
8,2 Gemini + 6 GPT,GPT,Gemini,homogeneous,2,0.011232821495804101,0.008100611434124114,80
8,2 Gemini + 6 GPT,GPT,Gemini,homogeneous,3,0.008203742443000999,0.00459230922580423,80
8,2 Gemini + 6 GPT,GPT,Gemini,homogeneous,4,0.00852935732042832,0.005216489372935054,80
8,2 Gemini + 6 GPT,GPT,Gemini,homogeneous,5,0.006551608579788014,0.00303210215007337,80
8,2 Gemini + 6 GPT,GPT,Gemini,homogeneous,6,0.006257599495809523,0.0029712563246433047,80
8,2 Gemini + 6 GPT,GPT,Gemini,homogeneous,7,0.006721198219233289,0.0035887058459883998,80
8,2 Gemini + 6 GPT,GPT,Gemini,homogeneous,8,0.006075327334631035,0.003200504784167484,80
8,2 Gemini + 6 GPT,GPT,Gemini,homogeneous,9,0.0062000221423438775,0.003186211955421999,80
8,2 Gemini + 6 GPT,GPT,Gemini,homogeneous,10,0.006529506257786142,0.00335509130999842,80
8,2 Gemini + 6 GPT,Gemini,GPT,mixed,1,0.01699640293119014,0.011655681734663298,20
8,2 Gemini + 6 GPT,Gemini,GPT,mixed,2,0.029366410708386144,0.020856764286919724,20
8,2 Gemini + 6 GPT,Gemini,GPT,mixed,3,0.039879680619908126,0.04756716504526076,20
8,2 Gemini + 6 GPT,Gemini,GPT,mixed,4,0.047965742597431214,0.040871725130887625,20
8,2 Gemini + 6 GPT,Gemini,GPT,mixed,5,0.03340069164598278,0.033007046862415845,20
8,2 Gemini + 6 GPT,Gemini,GPT,mixed,6,0.027462249888634205,0.026212727680238725,20
8,2 Gemini + 6 GPT,Gemini,GPT,mixed,7,0.01928158842701778,0.011993557819027665,20
8,2 Gemini + 6 GPT,Gemini,GPT,mixed,8,0.033311864407482995,0.033296998189307495,20
