fe,setting,role,model,predictor,level,coef,ci_low,ci_high,p,n_decisions,n_runs
run,all settings,trustee,"own + shown label, own lag",shown_label,be cautious,-0.004990139454811716,-0.017462114812105092,0.007481835902481661,0.4329241512287889,2861,156
run,all settings,trustee,"own + shown label, own lag",shown_label,be generous,0.0006441857771226049,-0.005051477303558183,0.006339848857803394,0.8245676025712535,2861,156
run,all settings,trustee,"own + shown label, own lag",coop_lag_same_role,,0.16715576614529673,0.10980854979345164,0.22450298249714182,1.1106274914060064e-08,2861,156
run,all settings,trustee,"own + shown label, no lag",own_label,be cautious,0.0012997977125843636,-0.012340760446196813,0.01494035587136554,0.8518461626594664,3268,156
run,all settings,trustee,"own + shown label, no lag",own_label,be generous,0.01480516781540658,0.008456702983025149,0.02115363264778801,4.858538959420496e-06,3268,156
run,all settings,trustee,"own + shown label, no lag",shown_label,be cautious,-0.00547668930518817,-0.01716280842163831,0.006209429811261968,0.3583386482852381,3268,156
run,all settings,trustee,"own + shown label, no lag",shown_label,be generous,-3.541829153282713e-05,-0.005866919457403998,0.005796082874338344,0.990502153704184,3268,156
agent,2-agent homogeneous,investor,"own + shown label, own lag",own_label,be cautious,-0.181043717975403,-0.5433680931321139,0.18128065718130784,0.32741144912109055,240,30
agent,2-agent homogeneous,investor,"own + shown label, own lag",own_label,be generous,-0.016946444088151588,-0.06255231186516219,0.028659423688859008,0.4664344367651708,240,30
agent,2-agent homogeneous,investor,"own + shown label, own lag",shown_label,be cautious,-0.08150069284186431,-0.21995919861935806,0.05695781293562943,0.2486266063742093,240,30
agent,2-agent homogeneous,investor,"own + shown label, own lag",shown_label,be generous,-0.009535756319741465,-0.03399670302625281,0.014925190386769874,0.4448288565929438,240,30
agent,2-agent homogeneous,investor,"own + shown label, own lag",coop_lag_same_role,,0.11460080257826735,-0.13166333281747541,0.3608649379740101,0.3617247824786438,240,30
agent,2-agent homogeneous,investor,"own + shown label, no lag",own_label,be cautious,-0.2169403786904094,-0.5066028661666945,0.07272210878587568,0.14213160986453094,255,30
agent,2-agent homogeneous,investor,"own + shown label, no lag",own_label,be generous,-0.020862861551182665,-0.06188974461627895,0.020164021513913617,0.31892242351762956,255,30
agent,2-agent homogeneous,investor,"own + shown label, no lag",shown_label,be cautious,-0.07505080748282025,-0.24506304474685828,0.09496142978121777,0.38692162728620316,255,30
agent,2-agent homogeneous,investor,"own + shown label, no lag",shown_label,be generous,0.0052942242551892015,-0.018585682632261756,0.029174131142640163,0.6639050456916165,255,30
agent,2-agent homogeneous,trustee,"own + shown label, own lag",own_label,be cautious,-0.03191745244796295,-0.05849615140475471,-0.005338753491171189,0.018589912947435464,230,30
agent,2-agent homogeneous,trustee,"own + shown label, own lag",own_label,be generous,0.004264700193378887,-0.011972167231479884,0.02050156761823766,0.6066962530857114,230,30
agent,2-agent homogeneous,trustee,"own + shown label, own lag",shown_label,be cautious,-0.08837099314014259,-0.1046222385743514,-0.07211974770593377,1.6019282509767077e-26,230,30
agent,2-agent homogeneous,trustee,"own + shown label, own lag",shown_label,be generous,0.004385405896730739,-0.010450157334311993,0.01922096912777347,0.5623414817009178,230,30
agent,2-agent homogeneous,trustee,"own + shown label, own lag",coop_lag_same_role,,-0.048958549965392825,-0.22047594272697324,0.1225588427961876,0.5758483236083276,230,30
agent,2-agent homogeneous,trustee,"own + shown label, no lag",own_label,be cautious,-0.046928189467830145,-0.08547558667243568,-0.0083807922632246,0.017028580491061318,252,30
agent,2-agent homogeneous,trustee,"own + shown label, no lag",own_label,be generous,0.00847874161675951,-0.012400419732883257,0.029357902966402276,0.42608170663899037,252,30
agent,2-agent homogeneous,trustee,"own + shown label, no lag",shown_label,be cautious,-0.062052640978423924,-0.12073315480075314,-0.003372127156094716,0.03820998371944538,252,30
agent,2-agent homogeneous,trustee,"own + shown label, no lag",shown_label,be generous,-0.0016165902275063516,-0.02035399027781776,0.017120809822805057,0.8657194845860948,252,30
agent,2-agent mixed,investor,"own + shown label, own lag",own_label,be cautious,0.07901350845299059,0.012383274162013458,0.1456437427439677,0.020113458524100295,286,36
agent,2-agent mixed,investor,"own + shown label, own lag",own_label,be generous,0.0162406136703062,-0.004110588080590463,0.036591815421202864,0.11779751015847294,286,36
agent,2-agent mixed,investor,"own + shown label, own lag",shown_label,be cautious,0.02730542253212483,-0.02611145178326413,0.0807222968475138,0.3163984180141005,286,36
agent,2-agent mixed,investor,"own + shown label, own lag",shown_label,be generous,0.01750742417353295,-0.0011398767710065448,0.03615472511807244,0.0657455098539699,286,36
agent,2-agent mixed,investor,"own + shown label, own lag",coop_lag_same_role,,0.16165499494068183,0.017923885819407043,0.30538610406195665,0.02749763801275562,286,36
agent,2-agent mixed,investor,"own + shown label, no lag",own_label,be cautious,0.08182274600824457,-0.009944602486117005,0.17359009450260615,0.0805389480656924,304,36
agent,2-agent mixed,investor,"own + shown label, no lag",own_label,be generous,0.017554956496199568,-0.000985058431091132,0.03609497142349027,0.06347805004544312,304,36
agent,2-agent mixed,investor,"own + shown label, no lag",shown_label,be cautious,0.06048575685060997,0.005722757972946704,0.11524875572827324,0.030404452789166068,304,36
