child_family,marker_family,size,group,round,marker_rate_mean,marker_rate_sd,n_myths
Gemini,Sonnet,2,"mixed, shown other family",6,0.012042389210019266,0.007970834502326295,12
Gemini,Sonnet,2,"mixed, shown other family",7,0.011078998073217725,0.010298499274881056,12
Gemini,Sonnet,2,"mixed, shown other family",8,0.013487475915221578,0.011114165058129484,12
Gemini,Sonnet,2,"mixed, shown other family",9,0.013005780346820808,0.006099940497237992,12
Gemini,Sonnet,2,"mixed, shown other family",10,0.021194605009633907,0.015260221765370115,12
Gemini,Sonnet,2,"mixed, round 1 (nothing shown)",1,0.006743737957610789,0.00414878937899002,12
Sonnet,GPT,2,homogeneous,1,0.0019444444444444444,0.0032619052700688877,20
Sonnet,GPT,2,homogeneous,2,0.0036111111111111114,0.006567241047103436,20
Sonnet,GPT,2,homogeneous,3,0.0011111111111111111,0.0022799518935225646,20
Sonnet,GPT,2,homogeneous,4,0.0011111111111111111,0.0022799518935225646,20
Sonnet,GPT,2,homogeneous,5,0.002222222222222222,0.004188539082916955,20
Sonnet,GPT,2,homogeneous,6,0.001388888888888889,0.0035481465203250286,20
Sonnet,GPT,2,homogeneous,7,0.0022222222222222222,0.004559903787045128,20
Sonnet,GPT,2,homogeneous,8,0.0011111111111111111,0.0029063797987810944,20
Sonnet,GPT,2,homogeneous,9,0.0011111111111111111,0.002279951893522564,20
Sonnet,GPT,2,homogeneous,10,0.0016666666666666666,0.0026120130332312626,20
Sonnet,GPT,2,"mixed, shown other family",2,0.00462962962962963,0.006630090460442835,12
Sonnet,GPT,2,"mixed, shown other family",3,0.002314814814814815,0.0037142106856751195,12
Sonnet,GPT,2,"mixed, shown other family",4,0.005555555555555556,0.005297014384697735,12
Sonnet,GPT,2,"mixed, shown other family",5,0.00462962962962963,0.005207982592006068,12
Sonnet,GPT,2,"mixed, shown other family",6,0.007407407407407408,0.005961592999873998,12
Sonnet,GPT,2,"mixed, shown other family",7,0.008333333333333333,0.007301430451919676,12
Sonnet,GPT,2,"mixed, shown other family",8,0.00462962962962963,0.0057214294504937474,12
Sonnet,GPT,2,"mixed, shown other family",9,0.006481481481481481,0.0057214294504937474,12
Sonnet,GPT,2,"mixed, shown other family",10,0.008796296296296295,0.006889513385400808,12
